user_guid,search_query,store_id,product_ids
feac1f500dd5178a02e7f46b69e173369a18f03ccf9f47b304faa2ae9dbe45d5,Ventilateurs,0414,"['10000537637', '10000261794', '10000537638', '10000231422']"
feac1f500dd5178a02e7f46b69e173369a18f03ccf9f47b304faa2ae9dbe45d5,Moulage et Modelage,0414,"['10000170676', '10000249750', '10000184709', '10000259687', '10000253832', '10000173615', '10000517951', '10000330674', '10000422825', '10000180739', '10000422642', '10000457019', '10000251680', '10000422787', '10000260077', '10000249679', '10000400497', '10000256799', '10000260076', '10000256270', '10000415208', '10000273703', '10000269636', '10000259857', '10000273702', '10000533490', '10000248363', '10000417155', '10000260078', '10000183860', '10000273704', '10000255955', '10000256271', '10000256272', '10000253897', '10000186870', '10000248199', '10000261864', '10000237204', '10000251492', '10000192969', '10000183684']"
feac1f500dd5178a02e7f46b69e173369a18f03ccf9f47b304faa2ae9dbe45d5,"Hifi, vidéo et photo",0414,"['10000170676', '10000226458', '10000249750', '10000184709', '10000259687', '10000253832', '10000173615', '10000517951', '10000330674', '10000422825', '10000180739', '10000216634', '10000422642', '10000457019', '10000251680', '10000422787', '10000260077', '10000249679', '10000400497', '10000256799', '10000260076', '10000256270', '10000415208', '10000273703', '10000269636', '10000259857', '10000273702', '10000533490', '10000248363', '10000417155', '10000260078', '10000183860', '10000273704', '10000255955', '10000256271', '10000256272', '10000253897', '10000186870', '10000248199', '10000261864', '10000237204', '10000251492']"
feac1f500dd5178a02e7f46b69e173369a18f03ccf9f47b304faa2ae9dbe45d5,Pots de fleurs et cache pots,0414,"['10000170676', '10000249750', '10000184709', '10000230248', '10000173615', '10000330674', '10000180739', '10000330588', '10000209009', '10000251680', '10000260077', '10000249679', '10000259119', '10000199640', '10000248535', '10000199261', '10000535580', '10000230016', '10000169801', '10000190148', '10000256799', '10000260076', '10000256270', '10000415208', '10000261130', '10000269636', '10000259857', '10000533490', '10000259121', '10000260078', '10000274727', '10000255955', '10000256271', '10000256272', '10000259137', '10000255632', '10000259120', '10000454544', '10000259304', '10000259338', '10000259122', '10000251492']"
feac1f500dd5178a02e7f46b69e173369a18f03ccf9f47b304faa2ae9dbe45d5,Loisirs créatifs de Noël,0414,"['10000219671', '10000237315', '10000401510', '10000562182', '10000219482', '10000255391']"
feac1f500dd5178a02e7f46b69e173369a18f03ccf9f47b304faa2ae9dbe45d5,Caches-pot,0414,"['10000230248', '10000248496', '10000230245', '10000228807', '10000215995', '10000259119', '10000255412', '10000248535', '10000248433', '10000199261', '10000215885', '10000230254', '10000215988', '10000215987', '10000249695', '10000259121', '10000454370', '10000259129', '10000259137', '10000248492', '10000259120', '10000259131', '10000259304', '10000259122', '10000259338', '10000259340', '10000259133', '10000259126', '10000259128', '10000259453', '10000259309', '10000259136', '10000259118', '10000259130', '10000259306', '10000248424', '10000248906', '10000266828', '10000535574', '10000273985', '10000272276', '10000248907']"
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,Draps housse,0414,"['10000227896', '10000227889', '10000245879', '10000227918', '10000227885', '10000261185', '10000227884', '10000227941', '10000227923', '10000227924', '10000227883', '10000261182', '10000261184', '10000261183', '10000261187', '10000261186', '10000260095', '10000227922', '10000260098', '10000260096', '10000227942', '10000227933', '10000227921', '10000227912', '10000227913', '10000227916', '10000227919', '10000227932', '10000227882', '10000227910', '10000227911', '10000227917']"
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,Perles et paillettes,0414,"['10000457021', '10000180739', '10000249750', '10000259687', '10000184709', '10000253832', '10000330674', '10000422825', '10000170676', '10000173615', '10000249679', '10000457019', '10000422642', '10000251680', '10000422787', '10000260077', '10000209008', '10000415208', '10000255955', '10000400497', '10000183860', '10000523385', '10000256799', '10000269636', '10000533490', '10000273703', '10000273702', '10000260076', '10000260078', '10000417155', '10000273704', '10000256272', '10000256270', '10000256271', '10000259857', '10000253897', '10000236735', '10000391237', '10000219680', '10000244110', '10000261864', '10000251492']"
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,Bain de soleil et transat,0414,"['10000180739', '10000249750', '10000259687', '10000184709', '10000365989', '10000253832', '10000330674', '10000391792', '10000422825', '10000170676', '10000173615', '10000249679', '10000457019', '10000422642', '10000251680', '10000267375', '10000422787', '10000260077', '10000415208', '10000255955', '10000257005', '10000400497', '10000183860', '10000224729', '10000256799', '10000269636', '10000533490', '10000273703', '10000248363', '10000273702', '10000260076', '10000260078', '10000417155', '10000273704', '10000256272', '10000256270', '10000256271', '10000259857', '10000253897', '10000261864', '10000251492', '10000518967']"
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,Arrosoirs et tuyaux d'arrosage,0414,"['10000180739', '10000249750', '10000259687', '10000184709', '10000253832', '10000330674', '10000422825', '10000170676', '10000173615', '10000249679', '10000457019', '10000422642', '10000251680', '10000422787', '10000260077', '10000415208', '10000255955', '10000400497', '10000183860', '10000169801', '10000410634', '10000256799', '10000269636', '10000533490', '10000273703', '10000273702', '10000260076', '10000260078', '10000171443', '10000417155', '10000273704', '10000208632', '10000256272', '10000256270', '10000256271', '10000259857', '10000253897', '10000215955', '10000272192', '10000349301', '10000261864', '10000251492']"
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,Caractères,0414,['10000445189']
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,"Mug, bol et tasse",0414,"['10000180739', '10000249750', '10000259687', '10000184709', '10000253832', '10000330674', '10000422825', '10000170676', '10000173615', '10000175852', '10000249679', '10000457019', '10000251680', '10000422787', '10000260077', '10000228444', '10000228445', '10000415208', '10000255955', '10000183860', '10000269909', '10000256799', '10000269636', '10000533490', '10000273703', '10000522208', '10000273702', '10000260076', '10000260078', '10000273704', '10000256272', '10000256270', '10000256271', '10000259857', '10000253897', '10000256324', '10000391541', '10000206777', '10000548572', '10000242198', '10000261864', '10000251492']"
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,Fleurs de deuil Rouge et blanc,0414,"['10000180739', '10000249750', '10000184709', '10000330674', '10000170676', '10000173615', '10000250233', '10000330588', '10000249679', '10000260077', '10000415208', '10000255955', '10000160385', '10000391943', '10000391944', '10000256799', '10000143893', '10000269636', '10000533490', '10000269824', '10000183757', '10000260076', '10000260078', '10000256272', '10000256270', '10000256271', '10000261130', '10000518966', '10000518874', '10000259857', '10000341371', '10000454544', '10000227670', '10000407742', '10000346273', '10000518880', '10000524687', '10000251492', '10000518967', '10000518965', '10000518875', '10000518886']"
235127e022357f07db409007dfe726ff9ba2aa82506e9508ef9cb43cc3b03370,Spas gonflables et accessoires,0414,"['10000180739', '10000517951', '10000249750', '10000259687', '10000184709', '10000253832', '10000330674', '10000422825', '10000170676', '10000173615', '10000249679', '10000457019', '10000422642', '10000251680', '10000254854', '10000422787', '10000260077', '10000415208', '10000255955', '10000400497', '10000183860', '10000257311', '10000247645', '10000256799', '10000269636', '10000533490', '10000273703', '10000248363', '10000273702', '10000260076', '10000186870', '10000260078', '10000417155', '10000273704', '10000256272', '10000256270', '10000256271', '10000259857', '10000253897', '10000261864', '10000248199', '10000251492']"
