score_promotion,score_collaboratif,score_svd,score_saison,score_local_trend,score_global_trend,score_navigation_client
0.697,5.093199662650703,0.2788437913064056,0.0016556291390728475,0.000974025974025974,0.01578648829825634,0.0
0.697,3.0,0.3968115861612081,0.0,0.000974025974025974,0.003337041156840934,0.0
0.697,3.0,0.21154811374851976,0.0,0.000487012987012987,0.001668520578420467,0.0
0.697,3.0,0.15225897953819006,0.0016556291390728475,0.0033621796454496073,0.013283707430625642,0.0
0.697,0.0,0.295747005075884,0.0,0.0007305194805194804,0.002502780867630701,0.0
0.697,0.0,0.27019910971074146,0.0,0.000487012987012987,0.001668520578420467,0.0
0.697,0.0,0.14983893397622308,0.0,0.000487012987012987,0.001668520578420467,0.0
0.697,0.0,0.12553931857037812,0.0,0.0017045454545454545,0.0058398220244716345,0.0
0.697,0.0,0.11882216515799045,0.0,0.000487012987012987,0.001668520578420467,0.0
0.697,0.0,0.09696667588920012,0.0,0.0002435064935064935,0.0008342602892102335,0.0
0.495,3.0,0.23823297755809802,0.0,0.0012175324675324673,0.004171301446051168,0.0
0.495,3.0,0.16965018321727568,0.0,0.000974025974025974,0.003337041156840934,0.0
0.495,3.0000000000000004,0.10297680907021983,0.0,0.000974025974025974,0.0058398220244716345,0.0
0.495,0.0,0.25230587417359096,0.0,0.000487012987012987,0.001668520578420467,0.0
0.495,0.0,0.228515647129126,0.0,0.000974025974025974,0.003337041156840934,0.0
0.495,0.0,0.17537442461108,0.0,0.000487012987012987,0.001668520578420467,0.0
0.495,0.0,0.10850557901923882,0.0016556291390728475,0.0031186731519431137,0.012449447141415406,0.0
0.333,3.0,0.06662260436604288,0.003311258278145695,0.0038491926324625944,0.02406463399362058,0.0
0.303,3.0,0.3704509921553773,0.0,0.000974025974025974,0.003337041156840934,0.0
0.303,3.0,0.36451231202050804,0.0,0.0029220779220779218,0.010011123470522803,0.0
0.303,3.0,0.2927040867766286,0.0016556291390728475,0.0031186731519431137,0.012449447141415406,0.0
0.303,3.0,0.273818524548361,0.0,0.0014610389610389609,0.012513904338153505,0.0
0.303,3.0,0.12742075308914738,0.0,0.0012175324675324673,0.0058398220244716345,0.0
0.303,3.0,0.10643126601849535,0.0,0.000487012987012987,0.001668520578420467,0.0
0.404,0.0,0.38065147756331885,0.0,0.0007305194805194804,0.002502780867630701,0.0
0.253,3.0,0.2514450454411342,0.0,0.0012175324675324673,0.008342602892102336,0.0
0.333,0.0,0.09278957166212787,0.0,0.0017045454545454545,0.0058398220244716345,0.0
0.303,0.0,0.3204555389349726,0.0,0.0007305194805194804,0.002502780867630701,0.0
0.303,0.0,0.250980690680381,0.0,0.001948051948051948,0.006674082313681868,0.0
0.303,0.0,0.24925706517749696,0.0,0.0002435064935064935,0.0008342602892102335,0.0
0.303,0.0,0.21401265057594732,0.0,0.000487012987012987,0.001668520578420467,0.0
0.303,0.0,0.20146077632811368,0.0,0.0002435064935064935,0.0008342602892102335,0.0
0.303,0.0,0.16923849979282682,0.0,0.0007305194805194804,0.002502780867630701,0.0
